frame_id,vehicle_id,world_x,world_y,speed
0,1,488,1489,300
1,1,488,1489,0
2,1,488,1489,0
3,1,483,1413,600
4,1,480,1340,600
5,1,476,1263,600
6,1,472,1135,600
7,1,469,1062,600
8,1,466,1024,600
9,1,464,986,600
10,1,460,947,600
11,1,457,909,600
12,1,455,854,600
13,1,453,805,600
14,1,450,756,600
15,1,447,708,600
16,1,445,652,600
17,1,443,618,600
18,1,441,586,600
19,1,439,552,600
20,1,437,510,600
21,1,434,472,600
22,1,433,454,461
23,1,431,430,569
24,1,429,406,575
25,1,427,361,600
26,1,426,319,600
27,1,425,288,600
28,1,424,267,512
29,1,423,236,600
30,1,423,215,512
31,1,420,194,527
32,1,419,163,600
33,1,418,138,569
34,1,417,118,512
35,1,415,90,600
36,1,415,65,563
37,1,413,48,464
38,1,412,34,410
39,1,411,10,563
17,19,794,1878,300
18,19,790,1805,600
18,22,235,2961,300
19,22,239,2809,600
20,22,242,2673,600
21,22,245,2545,600
22,22,249,2420,600
23,22,250,2295,600
24,22,250,2190,600
25,22,249,2093,600
26,22,251,1993,600
27,22,261,1895,600
28,22,263,1805,600
29,22,266,1722,600
30,22,267,1635,600
31,22,268,1559,600
32,22,269,1482,600
33,22,269,1413,600
34,22,269,1361,600
35,22,269,1284,600
36,22,271,1229,600
37,22,278,1173,600
38,22,280,1114,600
39,22,281,1065,600
40,22,281,1010,600
41,22,282,961,600
42,22,282,913,600
43,22,282,875,600
44,22,281,833,600
45,22,282,788,600
46,22,286,750,600
47,22,288,708,600
48,22,288,677,600
49,22,289,642,600
50,22,290,593,600
51,22,291,576,461
52,22,292,541,600
53,22,292,503,600
54,22,292,475,600
55,22,292,447,600
56,22,294,420,600
57,22,293,395,566
58,22,293,381,407
59,22,294,343,600
60,22,295,315,600
61,22,295,295,512
62,22,295,274,512
63,22,295,253,512
64,22,295,225,600
65,22,295,211,407
66,22,295,197,407
67,22,295,184,407
68,22,296,152,600
69,22,296,131,512
70,22,296,111,512
71,22,297,93,461
72,22,297,72,512
73,22,297,59,407
74,22,298,45,410
75,22,298,27,458
76,22,298,13,407
25,24,758,1631,300
26,24,756,1597,600
27,24,747,1559,600
28,24,742,1510,600
29,24,739,1482,600
30,24,732,1430,600
31,24,732,1399,600
32,24,728,1378,557
33,24,724,1357,539
34,24,719,1329,600
35,24,715,1277,600
36,24,708,1256,600
37,24,707,1225,600
38,24,701,1177,600
39,24,695,1152,600
40,24,691,1145,386
41,24,690,1121,569
42,24,686,1079,600
43,24,684,1052,600
44,24,677,1027,600
46,24,672,975,600
48,24,667,927,575
53,24,649,815,560
55,24,644,763,600
39,29,410,13,300
59,36,487,2732,300
60,36,483,2600,600
61,36,479,2458,600
62,36,476,2371,600
63,36,471,2260,600
64,36,469,2163,600
65,36,464,2062,600
66,36,460,1965,600
67,36,456,1878,600
68,36,454,1784,600
69,36,452,1704,600
70,36,450,1628,600
71,36,448,1548,600
72,36,445,1479,600
73,36,443,1416,600
74,36,440,1347,600
75,36,438,1288,600
76,36,436,1229,600
77,36,434,1173,600
78,36,432,1121,600
79,36,429,1059,600
80,36,429,1010,600
81,36,427,965,600
82,36,426,923,600
83,36,425,878,600
84,36,423,833,600
85,36,421,791,600
86,36,419,753,600
87,36,418,708,600
88,36,417,666,600
89,36,415,635,600
90,36,414,604,600
91,36,415,576,600
92,36,413,541,600
93,36,411,506,600
94,36,410,479,600
95,36,409,447,600
96,36,408,423,566
97,36,407,395,600
98,36,406,378,461
99,36,407,347,600
100,36,404,319,600
101,36,404,298,512
102,36,403,270,600
103,36,401,243,600
104,36,398,225,476
105,36,400,211,410
106,36,398,197,416
107,36,398,180,461
108,36,397,142,600
109,36,396,138,263
110,36,395,114,566
111,36,395,79,600
112,36,394,62,461
113,36,394,41,512
114,36,393,27,416
115,36,392,10,461
84,38,216,2951,300
85,38,222,2805,600
86,38,228,2677,600
87,38,231,2552,600
88,38,234,2434,600
89,38,237,2284,600
90,38,239,2211,600
91,38,242,2111,600
92,38,244,2017,600
93,38,247,1923,600
94,38,247,1836,600
95,38,253,1756,600
96,38,256,1677,600
97,38,259,1579,600
98,38,261,1496,600
99,38,263,1447,600
100,38,264,1395,600
101,38,264,1340,600
102,38,265,1277,600
103,38,267,1225,600
104,38,270,1166,600
105,38,273,1111,600
106,38,275,1062,600
107,38,276,1000,600
108,38,276,951,600
109,38,277,916,600
110,38,277,885,600
111,38,278,836,600
112,38,279,795,600
113,38,280,756,600
114,38,283,718,600
115,38,282,680,600
116,38,285,635,600
117,38,283,590,600
118,38,284,572,461
119,38,288,552,533
120,38,288,548,251
121,38,289,517,600
122,38,290,465,600
123,38,290,437,600
124,38,290,444,302
125,38,290,423,512
126,38,291,392,600
127,38,291,361,600
128,38,292,315,600
129,38,292,305,356
130,38,293,277,600
131,38,293,250,600
132,38,294,232,461
133,38,293,222,356
134,38,294,197,566
135,38,294,173,563
136,38,294,149,563
137,38,295,128,512
138,38,295,97,600
139,38,295,76,512
140,38,296,62,410
141,38,296,48,407
142,38,297,27,512
143,38,298,13,407
144,38,297,0,407
148,40,699,2354,300
149,40,691,2253,600
150,40,682,2152,600
151,40,675,2055,600
152,40,668,1958,600
153,40,660,1871,600
154,40,654,1788,600
155,40,647,1704,600
156,40,641,1625,600
157,40,635,1548,600
158,40,630,1482,600
159,40,624,1409,600
160,40,619,1343,600
161,40,614,1284,600
162,40,610,1225,600
163,40,605,1170,600
164,40,600,1114,600
165,40,595,1059,600
166,40,592,1010,600
167,40,588,961,600
168,40,585,913,600
169,40,581,868,600
170,40,577,829,600
171,40,573,791,600
172,40,569,750,600
173,40,567,704,600
174,40,564,673,600
175,40,560,631,600
176,40,557,597,600
177,40,554,572,581
178,40,550,534,600
179,40,548,503,600
180,40,546,479,572
181,40,544,451,600
182,40,542,423,600
183,40,540,399,575
184,40,536,368,600
185,40,533,336,600
186,40,534,312,563
187,40,532,284,600
188,40,529,263,527
189,40,527,232,600
190,40,526,211,512
191,40,525,194,464
192,40,522,184,383
193,40,520,166,464
194,40,519,145,515
195,40,517,128,470
196,40,515,111,470
197,40,513,93,464
198,40,511,69,569
199,40,510,48,512
200,40,509,24,569
201,40,507,6,464
169,41,229,2093,300
170,41,231,2000,600
171,41,235,1913,600
172,41,238,1822,600
173,41,240,1743,600
174,41,241,1659,600
175,41,243,1548,600
176,41,249,1500,600
177,41,252,1447,600
178,41,254,1388,600
179,41,257,1322,600
180,41,258,1260,600
181,41,260,1208,600
182,41,262,1152,600
183,41,263,1097,600
184,41,264,1006,600
185,41,264,975,600
186,41,268,947,600
187,41,271,906,600
188,41,272,868,600
189,41,273,833,600
190,41,275,791,600
191,41,275,750,600
192,41,276,711,600
193,41,276,673,600
194,41,276,618,600
195,41,278,597,521
196,41,281,572,581
197,41,282,552,512
198,41,283,513,600
199,41,284,486,600
200,41,285,461,566
201,41,286,430,600
202,41,288,406,569
203,41,288,381,563
204,41,290,364,470
205,41,290,329,600
206,41,290,305,563
207,41,292,284,515
208,41,292,267,461
209,41,293,243,563
210,41,293,222,512
211,41,293,204,458
212,41,293,201,254
213,41,294,180,512
214,41,294,152,600
215,41,294,128,563
216,41,295,107,512
217,41,296,93,410
218,41,296,79,407
219,41,297,65,410
220,41,297,48,461
221,41,298,31,461
222,41,298,17,407
223,41,299,3,410
186,45,457,2687,300
187,45,455,2520,600
188,45,453,2368,600
189,45,450,2243,600
190,45,447,2114,600
191,45,446,1993,600
192,45,444,1881,600
193,45,442,1784,600
194,45,440,1684,600
195,45,438,1586,600
196,45,439,1500,600
197,45,435,1416,600
198,45,431,1336,600
199,45,434,1260,600
200,45,433,1197,600
201,45,430,1128,600
202,45,430,1059,600
203,45,427,1006,600
204,45,429,951,600
205,45,430,895,600
206,45,429,843,600
207,45,429,788,600
208,45,428,750,600
209,45,427,680,600
210,45,427,649,600
211,45,426,621,600
212,45,425,576,600
213,45,425,545,600
214,45,425,503,600
215,45,424,461,600
216,45,424,427,600
217,45,423,388,600
218,45,424,371,461
219,45,424,350,512
220,45,425,315,600
221,45,424,281,600
222,45,423,253,600
223,45,421,236,476
224,45,421,222,407
225,45,420,201,512
226,45,421,166,600
227,45,420,145,512
228,45,420,131,407
229,45,420,90,600
230,45,420,69,512
231,45,419,55,407
232,45,419,31,563
233,45,419,13,458
234,45,419,0,407
